nombre,url,posicion,pais,altura,peso,equipo,aerial_duels_lost,through_balls,total_clearances,ground_duels,overruns,aerial_duels_won,substitute_on,unsuccessful_dribbles,penalties_taken,touches,putthrough_blocked_distribution,successful_dribbles,right_foot_goals,goals,recoveries,tackles_won,yellow_cards,successful_short_passes,successful_passes_own_half,left_foot_goals,headed_goals,penalty_goals,penalty_goals_conceded,goal_assists,total_fouls_won,putthrough_blocked_distribution_won,offsides,total_shots,hit_woodwork,games_played,total_successful_passes_excl_crosses_corners,rightside_passes,time_played,goals_conceded,tackles_lost,total_unsuccessful_passes_excl_crosses_corners,unsuccessful_layoffs,foul_attempted_tackle,open_play_passes,total_tackles,ground_duels_won,successful_passes_opposition_half,corners_won,times_tackled,unsuccessful_passes_own_half,goals_conceded_inside_box,handballs_conceded,successful_open_play_passes,total_losses_of_possession,forward_passes,shots_on_target_inc_goals,successful_layoffs,attempts_from_set_pieces,clean_sheets,appearances,unsuccessful_crosses_corners,unsuccessful_passes_opposition_half,unsuccessful_short_passes,blocked_shots,total_fouls_conceded,duels_won,aerial_duels,duels,total_passes,shots_off_target_inc_woodwork,duels_lost,blocks,key_passes_attempt_assists,successful_long_passes,goals_conceded_outside_box,backward_passes,assists_intentional,leftside_passes,starts,total_touches_in_opposition_box,substitute_off,ground_duels_lost,unsuccessful_crosses_open_play,goals_from_inside_box,goals_from_outside_box,index,home_goals,away_goals,winning_goal,team_games_played,foul_won_penalty,successful_crosses_open_play,successful_crosses_corners,throw_ins_to_own_player,unsuccessful_long_passes,clearances_off_the_line,interceptions,total_red_cards,unsuccessful_launches,straight_red_cards,corners_taken_incl_short_corners,unsuccessful_corners_into_box,set_pieces_goals,other_goals,successful_corners_into_box,second_goal_assists,successful_launches,red_cards_2nd_yellow,penalties_conceded,throw_ins_to_opposition_player,own_goal_scored,penalties_off_target,last_player_tackle,gk_successful_distribution,goal_kicks,gk_unsuccessful_distribution,saves_made_from_outside_box,saves_made_from_inside_box,penalties_faced,saves_made,saves_from_penalty,saves_made_caught,drops,penalties_saved,goalkeeper_smother,punches,saves_made_parried,catches,crosses_not_claimed
ARTEM DOVBYK,https://www.laliga.com//es-GB/jugador/artem-dovbyk,Delantero,UA,189,92,Girona FC,40.0,2.0,17.0,107.0,7.0,40.0,4.0,8.0,8.0,672.0,23.0,17.0,1.0,24.0,24.0,3.0,2.0,273.0,101.0,17.0,6.0,7.0,4.0,8.0,13.0,7.0,33.0,77.0,1.0,36.0,277.0,102.0,2605.0,36.0,1.0,109.0,13.0,13.0,358.0,4.0,33.0,176.0,12.0,47.0,31.0,34.0,2.0,249.0,219.0,61.0,46.0,20.0,1.0,3.0,36.0,1.0,79.0,109.0,8.0,27.0,73.0,80.0,187.0,386.0,31.0,114.0,1.0,19.0,4.0,2.0,141.0,8.0,82.0,32.0,203.0,22.0,74.0,1.0,23.0,1.0,96.0,15.0,9.0,4.0,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALEXANDER SØRLOTH,https://www.laliga.com//es-GB/jugador/alexander-sorloth,Delantero,NO,195,90,Villarreal CF,45.0,2.0,26.0,189.0,6.0,80.0,4.0,40.0,,900.0,20.0,30.0,4.0,23.0,57.0,3.0,3.0,351.0,110.0,12.0,7.0,,3.0,6.0,19.0,5.0,23.0,59.0,1.0,34.0,354.0,157.0,2491.0,46.0,3.0,108.0,7.0,20.0,441.0,6.0,55.0,246.0,18.0,101.0,17.0,43.0,5.0,333.0,323.0,63.0,36.0,29.0,,3.0,34.0,5.0,96.0,103.0,19.0,34.0,135.0,125.0,314.0,462.0,23.0,179.0,4.0,28.0,3.0,3.0,134.0,5.0,108.0,30.0,164.0,7.0,134.0,5.0,23.0,,52.0,16.0,7.0,8.0,38,1.0,2.0,2.0,1.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JUDE BELLINGHAM,https://www.laliga.com//es-GB/jugador/jude-bellingham,Centrocampista,GB-ENG,186,75,Real Madrid,26.0,18.0,13.0,291.0,3.0,26.0,1.0,35.0,1.0,2056.0,75.0,50.0,9.0,19.0,118.0,34.0,5.0,1297.0,454.0,7.0,3.0,1.0,,6.0,72.0,50.0,4.0,49.0,1.0,28.0,1347.0,466.0,2323.0,16.0,8.0,153.0,3.0,20.0,1470.0,42.0,162.0,897.0,24.0,75.0,21.0,14.0,1.0,1317.0,311.0,335.0,35.0,69.0,,9.0,28.0,17.0,149.0,143.0,14.0,32.0,188.0,52.0,343.0,1500.0,14.0,155.0,5.0,42.0,50.0,2.0,390.0,5.0,309.0,27.0,149.0,9.0,129.0,16.0,18.0,1.0,80.0,10.0,9.0,7.0,38,,4.0,4.0,12.0,10.0,,21.0,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERT LEWANDOWSKI,https://www.laliga.com//es-GB/jugador/robert-lewandowski,Delantero,PL,185,81,FC Barcelona,51.0,9.0,18.0,172.0,7.0,52.0,3.0,30.0,4.0,1006.0,32.0,23.0,14.0,19.0,56.0,5.0,5.0,394.0,105.0,1.0,4.0,4.0,2.0,8.0,55.0,9.0,24.0,69.0,1.0,35.0,409.0,154.0,2758.0,35.0,3.0,157.0,7.0,15.0,551.0,8.0,85.0,310.0,24.0,58.0,25.0,30.0,,394.0,327.0,121.0,43.0,41.0,3.0,9.0,35.0,12.0,144.0,144.0,25.0,23.0,137.0,103.0,275.0,566.0,26.0,138.0,4.0,19.0,15.0,5.0,165.0,3.0,126.0,32.0,176.0,12.0,87.0,12.0,17.0,2.0,55.0,11.0,8.0,6.0,38,1.0,6.0,6.0,1.0,13.0,,9.0,,2.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
ANTE BUDIMIR,https://www.laliga.com//es-GB/jugador/budimir,Delantero,HR,190,75,CA Osasuna,124.0,1.0,18.0,146.0,3.0,163.0,4.0,20.0,4.0,806.0,33.0,10.0,1.0,17.0,55.0,15.0,4.0,233.0,58.0,12.0,4.0,3.0,1.0,2.0,26.0,14.0,27.0,60.0,2.0,33.0,234.0,88.0,2448.0,40.0,6.0,193.0,5.0,28.0,411.0,21.0,52.0,179.0,18.0,51.0,20.0,38.0,6.0,218.0,335.0,162.0,35.0,27.0,,2.0,33.0,7.0,180.0,189.0,17.0,40.0,215.0,287.0,433.0,427.0,25.0,218.0,5.0,10.0,1.0,2.0,84.0,2.0,93.0,29.0,166.0,19.0,94.0,7.0,16.0,1.0,59.0,11.0,6.0,5.0,38,3.0,3.0,3.0,4.0,4.0,1.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YOUSSEF EN-NESYRI,https://www.laliga.com//es-GB/jugador/y-en-nesyri,Delantero,MA,188,73,Sevilla FC,93.0,2.0,28.0,109.0,4.0,70.0,5.0,25.0,1.0,617.0,21.0,11.0,,16.0,43.0,7.0,4.0,199.0,108.0,9.0,6.0,1.0,5.0,2.0,22.0,8.0,22.0,65.0,5.0,33.0,202.0,50.0,2573.0,33.0,3.0,109.0,5.0,12.0,267.0,10.0,41.0,94.0,7.0,42.0,23.0,27.0,3.0,158.0,217.0,71.0,30.0,19.0,,3.0,33.0,4.0,90.0,104.0,8.0,21.0,111.0,163.0,272.0,311.0,35.0,161.0,1.0,7.0,3.0,6.0,124.0,1.0,66.0,28.0,119.0,11.0,68.0,4.0,15.0,1.0,60.0,9.0,7.0,2.0,38,,,,3.0,5.0,,7.0,,2.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
ANTOINE GRIEZMANN,https://www.laliga.com//es-GB/jugador/griezmann,Delantero,FR,176,73,Atlético de Madrid,27.0,13.0,21.0,162.0,2.0,14.0,2.0,15.0,4.0,1736.0,63.0,22.0,2.0,16.0,100.0,19.0,5.0,974.0,392.0,12.0,2.0,4.0,1.0,6.0,26.0,31.0,14.0,56.0,2.0,33.0,1030.0,300.0,2654.0,33.0,14.0,216.0,6.0,14.0,1177.0,33.0,81.0,666.0,19.0,41.0,51.0,26.0,2.0,972.0,404.0,263.0,34.0,53.0,3.0,6.0,33.0,95.0,260.0,194.0,23.0,16.0,95.0,41.0,203.0,1246.0,22.0,108.0,3.0,37.0,56.0,7.0,327.0,5.0,356.0,31.0,117.0,12.0,81.0,31.0,16.0,,81.0,8.0,8.0,8.0,38,,4.0,28.0,4.0,22.0,1.0,10.0,,3.0,,94.0,50.0,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,
VINÍCIUS JOSÉ PAIXÃO DE OLIVEIRA JÚNIOR,https://www.laliga.com//es-GB/jugador/vini-jr,Delantero,BR,176,73,Real Madrid,7.0,10.0,,304.0,17.0,1.0,4.0,95.0,1.0,1206.0,47.0,65.0,11.0,15.0,44.0,13.0,7.0,454.0,77.0,1.0,1.0,1.0,1.0,5.0,54.0,13.0,10.0,62.0,,26.0,486.0,262.0,1872.0,12.0,5.0,136.0,5.0,18.0,607.0,18.0,137.0,415.0,26.0,135.0,18.0,11.0,1.0,471.0,414.0,106.0,39.0,24.0,,4.0,26.0,50.0,168.0,116.0,16.0,24.0,138.0,8.0,312.0,622.0,23.0,174.0,,26.0,32.0,1.0,185.0,3.0,69.0,22.0,221.0,15.0,167.0,50.0,13.0,2.0,100.0,9.0,6.0,3.0,38,,6.0,6.0,7.0,20.0,,1.0,,1.0,,5.0,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
BORJA MAYORAL,https://www.laliga.com//es-GB/jugador/b-mayoral,Delantero,ES,182,74,Getafe CF,74.0,,16.0,149.0,2.0,50.0,2.0,22.0,4.0,848.0,33.0,18.0,9.0,15.0,69.0,5.0,2.0,383.0,112.0,1.0,5.0,4.0,2.0,1.0,32.0,7.0,14.0,34.0,2.0,27.0,414.0,169.0,2161.0,34.0,4.0,119.0,,21.0,508.0,9.0,57.0,309.0,11.0,50.0,20.0,30.0,3.0,389.0,257.0,116.0,27.0,10.0,,2.0,27.0,15.0,114.0,108.0,13.0,31.0,107.0,124.0,273.0,533.0,7.0,166.0,,19.0,31.0,4.0,115.0,1.0,133.0,25.0,81.0,15.0,92.0,15.0,15.0,,96.0,7.0,8.0,5.0,38,1.0,7.0,7.0,1.0,11.0,,4.0,,2.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
ÁLVARO MORATA,https://www.laliga.com//es-GB/jugador/morata,Delantero,ES,190,84,Atlético de Madrid,32.0,,26.0,146.0,1.0,45.0,11.0,16.0,1.0,695.0,31.0,17.0,7.0,15.0,54.0,10.0,2.0,252.0,105.0,3.0,5.0,,1.0,3.0,35.0,15.0,33.0,60.0,3.0,32.0,263.0,95.0,1909.0,25.0,6.0,109.0,7.0,20.0,347.0,16.0,67.0,162.0,10.0,47.0,30.0,19.0,3.0,238.0,205.0,68.0,34.0,25.0,,1.0,32.0,6.0,85.0,98.0,7.0,33.0,112.0,77.0,223.0,372.0,26.0,111.0,3.0,12.0,11.0,6.0,109.0,3.0,100.0,21.0,134.0,15.0,79.0,6.0,15.0,,85.0,8.0,7.0,3.0,38,2.0,4.0,4.0,,11.0,,1.0,1.0,4.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
GORKA GURUZETA,https://www.laliga.com//es-GB/jugador/guruzeta,Delantero,ES,188,77,Athletic Club,91.0,1.0,23.0,180.0,2.0,70.0,2.0,13.0,1.0,1003.0,61.0,19.0,9.0,14.0,78.0,23.0,2.0,404.0,138.0,2.0,3.0,,,5.0,23.0,34.0,11.0,46.0,1.0,32.0,418.0,155.0,2240.0,20.0,11.0,185.0,6.0,31.0,574.0,34.0,76.0,283.0,15.0,42.0,39.0,15.0,4.0,389.0,302.0,160.0,31.0,35.0,3.0,3.0,32.0,8.0,154.0,172.0,18.0,45.0,146.0,161.0,341.0,603.0,15.0,195.0,2.0,22.0,14.0,5.0,155.0,5.0,133.0,30.0,116.0,26.0,104.0,8.0,13.0,1.0,65.0,11.0,3.0,7.0,38,1.0,3.0,3.0,1.0,13.0,,17.0,,4.0,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,,
